level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
52,52,2023-10-24 10:43:50.701904,1698137030.701904,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137030.691925,0.030393801948061,-0.0310605203950413,0.9419747863660332,-0.3328587729452196,0.0449144767655905,-0.0199977805803759,0.9373429552996944,0.3449216761799227,152.869178449893,329.46300397381617,41.26419178800393,150.3979122430292,342.67840965972624,119.57790315098086
53,53,2023-10-24 10:43:50.902583,1698137030.902583,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137030.891973,0.0304602538146148,-0.030960619964098,0.941986237166764,-0.3328295989502575,0.0449801938616108,-0.0225917237442295,0.9377778357536408,0.3435682275002364,152.86361316098203,329.4650485428933,41.266643398533766,150.36189078086736,342.6942409232691,119.61930039970748
54,54,2023-10-24 10:43:51.102430,1698137031.10243,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137031.092729,0.0302728631790544,-0.030762606732768,0.9419788291466454,-0.332886018362836,0.0422664919723021,-0.022553873816143,0.9377224516692908,0.3440660838670025,152.87274975501265,329.45976515900674,41.272788439400536,150.35613544465383,342.70146781731614,119.63414141161634
55,55,2023-10-24 10:43:51.304361,1698137031.304361,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137031.293403,0.0303526091949631,-0.0309245926314115,0.9419754124448214,-0.3328734159332159,0.0455270632688153,-0.0223158054199191,0.9375567907473152,0.3441170665081475,152.8721442119737,329.4629554159119,41.26871476864332,150.36456093050077,342.67706968371994,119.62219722283696
56,56,2023-10-24 10:43:51.507006,1698137031.507006,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137031.49345,0.0304005535186986,-0.0310157531962282,0.941972295431267,-0.3328693798464754,0.0450207858690022,-0.0223285219363456,0.937782403120137,0.3435676503195496,152.87122276846256,329.4669925544724,41.285206541709535,150.3591064605352,342.69550560840224,119.63642885039162
57,57,2023-10-24 10:43:51.707599,1698137031.707599,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137031.693497,0.0304056443416946,-0.0310304837991952,0.941970666598419,-0.3328721513366423,0.0452167834668541,-0.0202458730590484,0.937383944278054,0.3447562735131973,152.8634965352005,329.4710565648988,41.27876394360653,150.38413429084764,342.67711011337315,119.58369318327512
58,58,2023-10-24 10:43:51.907718,1698137031.907718,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137031.893544,0.0303635820774774,-0.0308466058344238,0.9419807521552094,-0.3328645405582068,0.0445053755351786,-0.0211984369114324,0.9376767584194152,0.3439944687651863,152.8665746217799,329.46348206133774,41.274353002497136,150.3727652614674,342.68402767531416,119.60854016106838
59,59,2023-10-24 10:43:52.109720,1698137032.10972,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698137032.093591,0.0302517410236274,-0.0307664219187747,0.9419724482045768,-0.3329056416927045,0.0442397176357134,-0.0239851010444361,0.9384146670993424,0.3418266737459662,152.87020125144068,329.4576632598601,41.28457853830825,150.31782301715438,342.5576013197797,119.71565870953756
60,60,2023-10-24 10:43:52.312244,1698137032.312244,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698137032.293638,0.0302707723129609,-0.0308689745707254,0.9419769240758704,-0.3328817526706604,0.0442763575592661,-0.0234602228392918,0.9384218828756168,0.3418385464598708,152.86671144956654,329.463568704689,41.27325549000395,150.3133138584793,342.5410452673638,119.70714746321082
61,61,2023-10-24 10:43:52.513006,1698137032.513006,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698137032.493685,0.0302748232876037,-0.0306282378847112,0.9419787345124986,-0.3328984978115908,0.0447579671822283,-0.0251215135248404,0.9384892182919176,0.3414727237741859,152.87114133333043,329.4562890587233,41.28928495949353,150.3261524647004,342.4554815309241,119.74144392647892
62,62,2023-10-24 10:43:52.714565,1698137032.714565,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698137032.693732,0.0302829154190631,-0.0308172072847268,0.9419782801287006,-0.3328816073841683,0.0445914457961372,-0.024028957844259,0.9384832295487748,0.3415895782989151,152.8675028384544,329.4592249502396,41.27390533086516,150.31660280838517,342.4872950874385,119.70739944276056
